"model_no"	"g_density"	"avg_indeg"	"avg_transient_length"
0	0.7265625	3.65714285714286	3.79838709677419
1	0.7265625	3.65714285714286	3.65860215053763
2	0.75	4	4.08333333333333
3	0.796875	4.92307692307692	3.56127450980392
4	0.7578125	4.12903225806452	3.45103092783505
5	0.7421875	3.87878787878788	3.68157894736842
6	0.7421875	3.87878787878788	3.76842105263158
7	0.78125	4.57142857142857	3.4725
8	0.8125	5.33333333333333	3.60817307692308
9	0.7109375	3.45945945945946	3.71428571428571
10	0.828125	5.81818181818182	3.45283018867925
11	0.78125	4.57142857142857	3.5875
12	0.78125	4.57142857142857	3.465
13	0.75	4	3.55208333333333
14	0.703125	3.36842105263158	3.93888888888889
15	0.734375	3.76470588235294	4.11968085106383
16	0.78125	4.57142857142857	4.1225
17	0.7890625	4.74074074074074	3.88613861386139
18	0.7890625	4.74074074074074	3.51980198019802
19	0.8515625	6.73684210526316	3.28669724770642
