from	to	sign
canWnt	Bmp2	i
exogen_BMP2_II	Bmp2	a
exogen_canWnt_II	canWnt	a
canWnt	Dkk1	a
exogen_BMP2_II	Dkk1	i
Mesp1	Dkk1	a
Tbx1	Fgf8	a
Foxc1/2	Fgf8	a
Mesp1	Fgf8	i
canWnt	Foxc1/2	a
exogen_canWnt_II	Foxc1/2	a
Nkx2_5	GATAs	a
Tbx5	GATAs	a
Mesp1	GATAs	a
canWnt	IsI1	a
Fgf8	IsI1	a
Mesp1	IsI1	a
Tbx1	IsI1	a
exogen_canWnt_II	IsI1	a
canWnt	Mesp1	a
exogen_BMP2_II	Mesp1	i
Bmp2	Nkx2_5	a
Dkk1	Nkx2_5	a
GATAs	Nkx2_5	a
IsI1	Nkx2_5	a
Mesp1	Nkx2_5	a
Tbx1	Nkx2_5	a
Tbx5	Nkx2_5	a
Foxc1/2	Tbx1	a
canWnt	Tbx5	i
Dkk1	Tbx5	i
Mesp1	Tbx5	a
Nkx2_5	Tbx5	a
Tbx1	Tbx5	i
Tbx5	Tbx5	a
exogen_BMP2_I	exogen_BMP2_I	a
exogen_BMP2_I	exogen_BMP2_II	a
exogen_canWnt_I	exogen_canWnt_I	a
exogen_canWnt_I	exogen_canWnt_II	a
