Node_num	Node_name	k	EF	scEUF	scRoF	scNCF
0	UGR	3	exact	exact	exact	exact
1	CBX2	4	exact	exact	exact	exact
2	GATA4	4	exact	exact	exact	exact
3	WT1mKTS	2	exact	exact	exact	exact
4	WT1pKTS	4	exact	exact	exact	exact
5	NR5A1	6	approx	exact	exact	exact
6	NR0B1	5	approx	exact	exact	exact
7	SRY	8	approx	approx	exact	exact
8	SOX9	7	approx	approx	exact	exact
9	FGF9	2	exact	exact	exact	exact
10	PGD2	1	exact	exact	exact	exact
11	DMRT1	3	exact	exact	exact	exact
12	DHH	1	exact	exact	exact	exact
13	DKK1	2	exact	exact	exact	exact
14	AMH	5	approx	exact	exact	exact
15	WNT4	6	approx	exact	exact	exact
16	RSPO1	3	exact	exact	exact	exact
17	FOXL2	4	exact	exact	exact	exact
18	CTNNB1	5	approx	exact	exact	exact
