Node_num	Node_name	k	EF	scEUF	scRoF	scNCF
0	NFAT	1	exact	exact	exact	exact
1	IRAK	1	exact	exact	exact	exact
2	STAT1	2	exact	exact	exact	exact
3	IL10R	1	exact	exact	exact	exact
4	IL12R	1	exact	exact	exact	exact
5	IL18R	2	exact	exact	exact	exact
6	IFNgR	1	exact	exact	exact	exact
7	IFNg	5	approx	exact	exact	exact
8	STAT4	2	exact	exact	exact	exact
9	IL10	1	exact	exact	exact	exact
10	STAT3	1	exact	exact	exact	exact
11	IFNbR	1	exact	exact	exact	exact
12	IL4	2	exact	exact	exact	exact
13	IL4R	2	exact	exact	exact	exact
14	GATA3	3	exact	exact	exact	exact
15	STAT6	1	exact	exact	exact	exact
16	SOCS1	2	exact	exact	exact	exact
17	JAK1	2	exact	exact	exact	exact
18	Tbet	3	exact	exact	exact	exact
19	IFNb	1	exact	exact	exact	exact
20	TCR	1	exact	exact	exact	exact
21	IL18	1	exact	exact	exact	exact
22	IL12	1	exact	exact	exact	exact
