BF	input	tot_perm	unique_perm	frac_unique_perm
1	1	1	1	1.0
8	3	6	3	0.5
2	1	1	1	1.0
7936	4	24	12	0.5
1	1	1	1	1.0
1	2	2	1	0.5
16	3	6	3	0.5
213	3	6	3	0.5
8	2	2	1	0.5
7	2	2	1	0.5
16	3	6	3	0.5
4	2	2	2	1.0
128	4	24	4	0.16666666666666666
8	2	2	1	0.5
64	3	6	3	0.5
32767	4	24	1	0.041666666666666664
8352	4	24	6	0.25
32767	4	24	1	0.041666666666666664
32767	4	24	1	0.041666666666666664
7	2	2	1	0.5
32767	4	24	1	0.041666666666666664
1086374080	5	120	10	0.08333333333333333
128	4	24	4	0.16666666666666666
32767	4	24	1	0.041666666666666664
7	2	2	1	0.5
32767	4	24	1	0.041666666666666664
1	6	720	1	0.001388888888888889
2	1	1	1	1.0
14	2	2	1	0.5
2	1	1	1	1.0
1	8	40320	1	2.48015873015873e-05
18446742901183475438	6	720	20	0.027777777777777776
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
14	3	6	3	0.5
2	2	2	2	1.0
7	2	2	1	0.5
2184	4	24	6	0.25
536911872	5	120	10	0.08333333333333333
1	1	1	1	1.0
2147483647	5	120	1	0.008333333333333333
127	3	6	1	0.16666666666666666
2	2	2	2	1.0
3074457345618258602	6	720	6	0.008333333333333333
112	3	6	3	0.5
2	2	2	2	1.0
32767	4	24	1	0.041666666666666664
1879109632	5	120	10	0.08333333333333333
76	3	6	3	0.5
4665941148055945408	6	720	15	0.020833333333333332
1879048192	5	120	10	0.08333333333333333
7	2	2	1	0.5
112	3	6	3	0.5
7	2	2	1	0.5
1	1	1	1	1.0
10922	4	24	4	0.16666666666666666
4	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	1	1	1	1.0
4	2	2	2	1.0
76	3	6	3	0.5
2	2	2	2	1.0
1	1	1	1	1.0
1	1	1	1	1.0
2	1	1	1	1.0
2	1	1	1	1.0
223	3	6	3	0.5
4	2	2	2	1.0
112	3	6	3	0.5
16384	4	24	4	0.16666666666666666
2	1	1	1	1.0
8	2	2	1	0.5
2	2	2	2	1.0
1	1	1	1	1.0
241	3	6	3	0.5
220	3	6	6	1.0
32767	4	24	1	0.041666666666666664
235843327	5	120	120	1.0
2686492704	5	120	60	0.5
2964365472	5	120	120	1.0
10	2	2	2	1.0
119	3	6	3	0.5
49152	4	24	4	0.16666666666666666
128	3	6	1	0.16666666666666666
112	3	6	3	0.5
4	2	2	2	1.0
7	2	2	1	0.5
12032	4	24	24	1.0
8	2	2	1	0.5
8	2	2	1	0.5
32	3	6	3	0.5
8	2	2	1	0.5
8	2	2	1	0.5
8	2	2	1	0.5
15104	4	24	24	1.0
8	2	2	1	0.5
4	2	2	2	1.0
4	2	2	2	1.0
4	2	2	2	1.0
4	2	2	2	1.0
8	2	2	1	0.5
84	3	6	3	0.5
1	1	1	1	1.0
7	2	2	1	0.5
21	3	6	3	0.5
1	1	1	1	1.0
1	2	2	1	0.5
4	2	2	2	1.0
2	2	2	2	1.0
1	1	1	1	1.0
64	5	120	10	0.08333333333333333
7717705310436796486164116918171584112185388310028889028038624141563227345169	8	40320	5040	0.125
1	1	1	1	1.0
30197	4	24	12	0.5
5	2	2	2	1.0
7	2	2	1	0.5
1	1	1	1	1.0
4	2	2	2	1.0
1	2	2	1	0.5
1	1	1	1	1.0
84	3	6	3	0.5
32607	4	24	12	0.5
1233723648051707904	6	720	45	0.0625
4	2	2	2	1.0
1	1	1	1	1.0
16	3	6	3	0.5
1	1	1	1	1.0
84	3	6	3	0.5
1287	4	24	12	0.5
4	3	6	3	0.5
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
32767	4	24	1	0.041666666666666664
1	1	1	1	1.0
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
127	3	6	1	0.16666666666666666
7	2	2	1	0.5
7	2	2	1	0.5
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
7	2	2	1	0.5
1	1	1	1	1.0
1	1	1	1	1.0
7	2	2	1	0.5
127	3	6	1	0.16666666666666666
1	1	1	1	1.0
7	2	2	1	0.5
