BF	No_of_unique_perms
0000000011001000	12
1000000011000000	12
0000000011101010	12
0000000100000011	6
1100110010000000	12
1111110011111000	12
1111101011111110	12
0000000001000101	12
1100000011000100	12
1100010011000000	24
1100000011010000	12
1111111101110011	24
0100010100000101	12
1100110011101100	12
0000000000000111	6
1110101000000000	12
0101000001010001	12
0000111111011111	24
0100010000000100	24
1111101011111000	12
0000010100000111	12
0000111011111111	12
1010100011111111	12
1100110000001000	24
0011111100111011	12
1111000011110111	12
1110110000000000	12
1111111100100000	12
0011001000110000	12
0000000001000000	6
0011111101111111	6
1111001101110011	24
1111111111110111	6
0000000000001011	12
0101000011010000	24
0011000100110000	24
1111111111101111	4
0111111100001111	12
1111111111010101	12
1111111100000100	12
0000001010101010	12
1011101011111111	24
1000101010101010	12
0000000000110001	12
1101000011110000	12
1000101011111111	24
1111001011111111	24
1000000010001000	12
0000000011011111	12
1011101010111011	24
0011001100010000	24
1110111111001100	24
1100100000000000	6
1111100011111100	24
0001001111111111	12
1000101000001010	12
1111111100010000	12
1111001110110011	12
1111000100000000	12
1100110111111111	12
0010001100000011	12
0101010101111111	12
0000000001010001	12
1100010000000000	12
1111000011110001	4
0111010111110101	12
0001000001010000	12
1111110011111110	12
0010001111111111	24
1111010000000000	24
0000000000000010	4
1011111100000000	12
0100010001001100	12
1111110111001100	24
1111011111110011	24
1111111101000101	24
1101110111001101	24
1111001111110010	12
1110101010101010	4
0011111100110111	24
0100000011000000	6
0010111110101111	12
0011001110111111	24
0111000000110000	24
1111110111110000	24
1111011101110111	6
1111110011011100	24
0101000101010000	24
1111101111111010	12
0000000111111111	4
0101010101011101	12
1100000011100000	24
1111101011101010	12
1111101111110011	12
0011001100110010	4
1111111000000000	4
1111000111110101	12
0000001100100011	24
0111011101010111	24
0111001101110111	24
0000001100001011	24
0000111101001111	12
0101111101111111	6
0000110001001100	12
1110000000000000	6
0000000000001000	6
0000010100000001	12
1101110000000000	24
0000010100000100	6
1101010101010101	4
1111010011111111	24
1111000010110000	12
1010101011111110	12
0010111111111111	12
1111111011001100	12
1010000010110000	12
1100100010001000	12
1100111011111111	24
0000000001110101	24
0101110111011101	12
0000000000001101	12
0000100011111111	12
0000110000000100	24
1010000010100010	12
0000000101010101	12
1111111101110000	12
1111111111110100	12
1101000000000000	12
1000100000001000	12
0001000011111111	12
1010101011111011	24
0011011101110111	12
1111111111000100	24
0010101010101010	4
1000111100001111	4
1111000011111011	24
1101110011001100	12
1000000011111111	4
1111111111001101	6
1010101010001010	12
0010001000100011	12
1011111110101111	24
0000000010101011	12
1110111011111110	12
1010001010101010	12
0011001011111111	12
1100110011001110	12
0000111100001101	12
0111011101110101	12
1010100010101010	12
0111111100110011	12
1111010011111100	12
0011001100110111	4
1101000011000000	24
1111000111110000	12
0011000111111111	24
0001000100010011	12
0101010100010000	24
1010111110001111	12
1111011100000000	12
0101010100000001	12
0000000010001010	24
1110111010101110	24
0011000100110011	12
0001000101010001	24
1111111101010001	24
1111000011110010	12
1111111111001000	12
0011101111111111	12
1010101000000010	12
0100010011000100	24
0111111100111111	12
0000011100000101	24
1011000000000000	12
1111111110111111	6
0101110101011111	24
1010101110101010	12
0011001100100011	12
1110111011001110	24
0010000010101010	24
0100110011111111	12
1011111100001111	24
1111100011111111	12
0010000011110000	24
1111111101001111	24
1010100010001000	12
1011001111110011	24
0011101100110011	12
0000000011010000	24
0101010011111111	12
0000010011001100	12
1111000011010000	12
1111010011110101	24
1111111101011101	24
1111110011110100	24
1000110000000000	12
0101010101110101	12
1110111110101111	12
1110110011101110	24
1010101000001000	24
0000100011001100	24
0000010000001100	12
1011101100111011	24
0000110100000101	12
0000000011010101	12
1011001100110011	4
1010001000100010	12
1011101111111011	24
1111110011101100	12
1111000111110011	12
1111000000010000	12
1010111010101111	24
0100000011001100	24
0101010111110111	24
0000000000000001	1
1111111111111101	4
1011111111111111	4
1101000011111111	24
1010001011111111	24
0010001000101010	12
0000001100000111	12
1000110010001000	24
0000101100001111	12
0000010000000101	12
0000000011100000	12
0000000000111011	24
1111110101010101	12
1111111100111011	24
0001000000110011	24
0000101100000011	12
1100111111101111	24
1101111100001111	24
0001000001010101	24
0000010001000100	12
0001010101010101	4
0000111110111111	24
1111000011110100	12
0101010001000100	12
1000100010001100	12
1100110001001100	12
0010000000110011	12
1010111100101111	24
1010001010100000	24
0100000000000000	4
1111111110110000	24
0000101100001010	24
1111000011111110	12
1100000001000000	12
1110110011111100	24
1101110011111100	12
0101011100000000	12
1011101110110011	12
1101111111001111	24
0010101000000000	6
0111011111110111	12
0000000010101110	24
1100110011111110	12
0101000001000000	12
1111111100110010	12
0100111111111111	12
0010000011111111	12
0011001100111011	12
0001000000010001	12
0000000001010111	12
1110111100001111	12
1111111100001000	12
0010001100100010	24
0000111111101111	12
0000000011101100	12
1000000010100000	12
0010101000100010	24
1111111110001010	24
1111111100001011	24
0000000100010001	6
1010101011101010	12
0000101000101010	12
1101110111011111	12
1010001000000000	12
0101111101011101	12
0000010000000000	6
1111111100011111	12
0000000000011111	12
0000000000110111	12
1101111100000000	12
0101010101010100	4
1101110011011101	24
0011001100110001	12
1111010101110101	24
1111111011101110	6
0011001100100000	12
1110111110101010	24
1110111011101010	12
0000001000100010	12
1111111100010011	12
0000000011111000	12
1100110011011100	12
1000000010101010	12
1111111111011111	6
0100010100000000	24
1101111111111111	4
0010001000110010	24
0100010001010100	24
1100110010001100	12
1111010111110111	12
0010001000000010	24
1010101010101000	4
1000000011110000	12
0000110100000000	24
1011101110111010	12
1111111101001100	12
0000000011111011	12
1000111111001111	24
0111111101110111	12
1100110111001111	12
0000001100000010	6
0000111100101111	12
1111111110001111	12
0100010101000100	24
0000000100001111	12
0100000011110000	24
0101111100011111	24
0001010111111111	12
1011000011111111	24
1011101110111111	12
1100110100000000	12
1010101000101010	12
1110000011000000	12
1110000010100000	12
0000111000001010	12
1101111101011111	6
1111111111010000	24
1100110111001100	12
0010001100000000	24
1111000000100000	24
1000110000001100	12
1111011101010101	24
1111111110111010	12
0000000010110000	24
0000000000010101	6
0010101000001010	24
0011011111111111	6
1111111100000010	12
0111000000000000	6
0011001000100010	12
1100111000000000	24
0100111111001111	12
0101011111111111	6
0000000010101000	12
1111101011110010	24
0111000011110000	4
1111111111100000	12
1111000111111111	12
0000001011111111	12
1010100000000000	6
1000100010101000	24
1010101110101111	12
1111110111111111	6
0100110011001100	4
0000001000110011	24
1101000001010000	12
1111110111111100	12
1111100011111010	24
0000000100000000	4
1111111110000000	4
0000111110001111	12
1111111100110111	12
1111111100000001	4
0000111100001000	12
0000010011111111	12
1000110011001100	12
0111011101110011	12
1111111110101110	12
0000001100000001	12
0000111101111111	12
0011001101110011	12
0101111101010111	24
0111111101010101	12
1111111011110000	12
1010111000000000	24
0000101000000010	24
1010101010101011	4
1111111101111111	4
0100110000001100	24
0000000001010100	6
1111101110111011	12
1111001011111010	12
0101000111111111	24
0000100000001010	24
0000000010100010	24
0101110100000000	24
1100100011001100	12
0011101100111111	24
1101111101010101	24
1111101100000000	12
0000000011110001	12
0111001111110011	12
0000111100000001	12
0001001100010001	24
1111111100001110	12
0000000011111101	12
1100110000000100	12
1010101100000000	12
1111111011111111	4
1010101010111010	12
0000011100000000	12
0111010100000000	24
1100010011001100	12
0011101110111011	12
1100111111001110	12
0100010001000000	12
0100010001000101	12
1100110011111101	24
0000010000001111	24
1101110111111101	24
1000000011001100	12
1011111110111011	24
0111000001010000	24
1111111011111100	6
0000111000001111	12
1111000001000000	24
0000010001010101	24
0000000011111110	4
1111100000000000	12
0000000011001101	12
0000000000010000	4
0000010100010101	12
0000010101000101	24
0000000000100011	12
0000000010111010	24
0100000001010000	24
1011001100000000	12
0010000000110000	24
1111101100110011	12
0111010111111111	12
1101010111011101	24
0000000000101010	12
0000001000000011	12
1101110111011100	12
0011000010110000	24
1110110011111111	12
1111111111001110	12
0000000010001100	24
0011001000110011	12
1011101011111010	12
0101110111111111	12
0100111100001111	12
0000110100001100	24
0000111000001100	12
1110101011111111	12
0001111100000000	12
0001000000000000	6
0101010100010101	12
1010101110111011	12
1111000011111000	12
1111111111111011	4
1100100011000000	12
1010000010101000	24
1111111111111000	6
1111010011110000	12
0010001000100000	12
0101011101010101	12
1010111010101010	12
1111111101110101	24
0000000011001110	24
0100111100000000	24
1010111110111111	12
1010111110101011	24
0000000000100000	6
1110101011111010	24
0011001100000001	12
0011000000110010	24
1100100011111111	12
0101000001110000	12
0000000011011100	24
1111111101000000	12
0000000000000100	4
0011001111110111	24
1011001111111111	6
0100110000000000	6
0000110000001101	12
0100111101011111	24
0011111100011111	24
1100111011001111	24
0101010001010101	12
1111111111101010	6
1111110111110101	12
0000000000101111	24
1000000000000000	1
0000101000001011	12
1010101010100010	12
1111000011111101	24
0000000011110010	24
0111111101011111	12
1111111100001101	24
1111001011110011	24
0001001100000000	12
0101010101000000	12
0000000001001100	12
0001000100110001	24
1011111100111111	6
0001000100000001	12
1110101011101110	24
0101000101010101	12
0011011100110011	12
0100010111111111	24
1100111111011111	12
0000000000001110	6
0000000100000101	6
0001010100000000	12
1011111110101010	12
1110110011001100	4
0000000000010011	6
0011101100000000	24
0000001000000000	6
1100111101001111	24
0101000100000000	24
0000000000110010	6
0000100000001111	12
0101010000000000	12
1100010011111111	24
0111001100000000	24
1101010100000000	12
1111001000000000	24
0111001100110011	12
0001000000110000	12
1110111011101111	6
1100111011001100	12
1111011111110101	24
0101011101011111	12
0111000011111111	12
1111111100010101	12
1111101111111111	6
0010001010100010	24
1110111011101100	12
0111111111111111	1
1111000011100000	4
1011000011110000	12
1111011100110011	24
0000000011110111	12
0011111100101111	12
1100111111001101	24
1110000011110000	12
0001010100010001	24
1000100010000000	6
1111111100101010	12
0101010100000100	24
0000111100001011	12
1111111100100011	24
0100000001000100	24
1010000000100000	12
0000100000001100	24
0000111100000100	24
0001000100010000	6
0001111101011111	12
0000000001110000	12
1011111100110011	24
1101111111001100	12
0000110100001111	12
0101010001010000	12
0100000011111111	12
1000100011001000	24
1111100011110000	4
1100111011101110	12
1111111111110010	12
0101110101010101	12
0000101000001000	12
0000100010001000	6
0011001000000000	12
1010111110101110	12
0101000100010001	12
1101010111111111	6
1111111100110001	24
1100000010000000	6
1111001111110111	12
1010000011100000	24
1010101000100000	24
1111111101010100	12
0000101111111111	24
0000101000001110	24
1111010111110001	24
1111111110110011	12
0000111100001110	4
1101110101011101	24
0011000000010000	24
1100110011001000	4
1100110111011101	12
0011111110111111	12
1010101111111111	12
0011001100010011	12
0000000010000000	4
1111111100000111	12
1010111111101111	24
1000100010001010	12
0011011100111111	12
0000100000000000	4
0000001000001010	12
1011101110101011	24
1111111010101010	12
0101011101110111	12
1101010111110101	24
1111000010000000	12
1010111011111111	24
0010101011111111	12
1010000010000000	6
0011000000100000	12
0000101010001010	24
1000111100000000	12
1100110011011111	12
0000111100011111	4
1111101011111011	6
1100110011001101	4
0111010101110111	24
0010000010100000	6
1111011111110000	12
1000110011111111	24
1111001011110000	12
0011000000110001	12
0000011100000011	24
0000010100001101	24
1111101110101010	24
1111111111110001	6
0101010111111101	12
0000011111111111	12
1111110100000000	12
1111010111110100	12
1100010001000100	12
0101000001010100	24
0001000011110000	12
0111011100110111	24
1111111110001100	24
1110111111101110	12
1111111011111010	6
1111011111111111	4
1101111111011101	24
1100000011001000	24
0000000011000100	24
1010111011101110	12
1111101111110000	24
1111111110101000	12
0000000001110011	24
0000111100000111	12
1110111100000000	12
0111010101010101	12
0001111111111111	6
1011000010100000	24
0000000010110011	12
0011001101111111	12
1111111110101011	6
1010101010101110	12
0011001100000010	24
0011000100010001	12
1101110111010101	12
0100110001000100	24
0000000001011101	24
1100110001000000	24
1111110111011101	12
0010000000000000	4
0000000001111111	4
0111111100000000	4
1111001111110001	24
0010001100110011	12
0000000011101111	12
0101010111011111	24
1011000000110000	12
0001000100010101	12
1111111100101111	24
1010101010111111	12
0011001110110011	12
0000110010001100	24
0000000011110100	24
0000111100000010	24
1111111101010111	12
1111101010111010	24
0001001100110011	4
0000000100110011	12
0101111111011111	12
0000101100000000	24
0000000010001111	12
1010101011101111	24
1011101010101010	12
1000101010001000	24
0101010111010101	12
0101111101001111	12
1100110011000100	12
0010111100111111	24
0000001100010011	12
1110111111001111	12
0101010101010001	12
0010111100000000	24
1011101000000000	24
0111011101111111	6
1111111111011100	12
0101010101010111	4
0001111100001111	12
0000110111111111	24
1111110011111101	6
0001001100000011	24
1100110011101111	24
0010111100001111	12
1111010111010101	12
0000111000000000	12
1100111110001111	12
0000000001001111	24
0111001111111111	12
1010100010100000	12
1010101010000000	12
0000011100001111	4
1111000001110000	12
0001010100000101	24
0000000010111111	12
1000101000000000	12
1011001110111011	24
0011000001110000	12
1111001111111011	24
1000111110101111	24
0100000001010101	12
1110111111111111	6
0101000000010000	24
1000111111111111	6
0011011100000000	12
0000001000001111	24
0101010101000101	12
0001111100111111	12
0000110000001110	24
1111111111111110	1
0100010101010101	12
1110000011111111	12
0011000100000000	24
0011001111111011	12
1101110011111111	24
1111010111111101	24
0000110000001000	12
1111111111101100	6
0010000000100010	24
1111111110100010	24
0000100010101010	24
